-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

								Lower Bound					Upper Bound					Binary Search
						---------------------------------------------		---------------------------------------------		---------------------------------------------
Problem		n	m	c*		c	%dev	BD	SX	CPU(time)		c	%dev	BD	SX	CPU(time)		c	%dev	BD	SX	CPU(time)

-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
BUXEY.IN2   	29	7	47		49	4.25532	19	10.5357	0.000357		49	4.25532	68	36.0832	0.003532		49	4.25532	19	10.5357	0.00098
			8	41		43	4.87805	20	9.05539	0.000356		43	4.87805	63	28.3373	0.003219		43	4.87805	20	9.05539	0.000806
			9	37		39	5.40541	27	12.3693	0.000364		39	5.40541	66	29.1548	0.002976		39	5.40541	27	12.3693	0.000751
			10	34		35	2.94118	26	11.5758	0.000382		35	2.94118	61	26.4386	0.002603		35	2.94118	26	11.5758	0.00065
			11	32		32	0	28	11.4018	0.000426		32	0	60	22.7156	0.002472		32	0	28	11.4018	0.000601
			12	28		29	3.57143	24	8.7178	0.000291		29	3.57143	53	19.9249	0.002383		29	3.57143	24	8.7178	0.003338
			13	27		28	3.7037	40	17.4356	0.00041		28	3.7037	68	22.1359	0.002209		28	3.7037	40	17.4356	0.000493
			14	25		26	4	40	16.3095	0.000207		26	4	66	19.6469	0.002357		26	4	40	16.3095	0.000624

SAWYER30.IN2   	30	7	47		51	8.51064	33	28.3019	0.000451		51	8.51064	86	42.6615	0.002962		51	8.51064	33	28.3019	0.000697
			8	41		47	14.6341	52	33.2866	0.000628		47	14.6341	99	53.2447	0.00264		47	14.6341	52	33.2866	0.000464
			9	37		41	10.8108	45	27.4044	0.000484		41	10.8108	88	36.7967	0.002975		41	10.8108	45	27.4044	0.000575
			10	34		36	5.88235	36	17.9444	0.000402		36	5.88235	74	29.9333	0.002258		36	5.88235	36	17.9444	0.00054
			11	31		34	9.67742	50	22.3159	0.000501		34	9.67742	86	32.7109	0.00199		34	9.67742	50	22.3159	0.000435
			12	28		33	17.8571	72	28.9482	0.00063		33	17.8571	107	35.0286	0.001793		32	14.2857	92	30.9516	0.000446
			13	26		30	15.3846	66	22.3607	0.000526		30	15.3846	112	37.8418	0.001931		29	11.5385	82	27.8209	0.000478
			14	25		28	12	68	24	0.000346		28	12	112	35.4401	0.001643		28	12	68	24	0.00045

LUTZ1.IN2   	32	8	1860		1902	2.25806	1076	502.482	0.009272		1902	2.25806	3670	1803.32	0.165442		1902	2.25806	1076	502.482	0.061137
			9	1638		1746	6.59341	1574	734.087	0.064291		1746	6.59341	3320	1738.84	0.226969		1746	6.59341	1574	734.087	0.024217
			10	1526		1628	6.68414	2140	834.285	0.040386		1628	6.68414	3964	1657.84	0.188056		1628	6.68414	2140	834.285	0.015446
			11	1400		1472	5.14286	2052	735.973	0.005567		1472	5.14286	3524	1486.02	0.179455		1472	5.14286	2052	735.973	0.066334
			12	1400		1400	0	2660	977.748	7.2e-05		1346	-3.85714	3358	1519.11	0.152651		1400	0	2660	977.748	0.020118

GUNTHER.IN2   	35	6	84		84	0	21	12.4499	0.000493		84	0	105	82.9638	0.010689		84	0	21	12.4499	0.008757
