-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

								Lower Bound					Upper Bound					Binary Search
						---------------------------------------------		---------------------------------------------		---------------------------------------------
Problem		n	m	c*		c	%dev	BD	SX	CPU(time)		c	%dev	BD	SX	CPU(time)		c	%dev	BD	SX	CPU(time)

-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
BUXEY.IN2   	29	7	47		49
			8	41		41
			9	37		39
			10	34		34
			11	32		33
			12	28		30
			13	27		27
			14	25		25

SAWYER30.IN2   	30	7	47		48
			8	41		45
			9	37		40
			10	34		35
			11	31		33
			12	28		30
			13	26		28
			14	25		25

LUTZ1.IN2   	32	8	1860		1860
			9	1638		1664
			10	1526		1577
			11	1400		1402
			12	1400		1400

GUNTHER.IN2   	35	6	84		84
			7	72		73
			8	63		65
			9	54		58
			10	50		50
			11	48		48
			12	44		44
			13	42		42
			14	40		42
			15	40		40

KILBRID.IN2   	45	3	184		184
			4	138		138
			5	111		112
			6	92		93
			7	79		80
			8	69		70
			9	62		63
			10	56		58
			11	55		55

HAHN.IN2   	53	3	4787		4787
			4	3677		3699
			5	2823		2823
			6	2400		2401
			7	2336		2392
			8	1907		1910
			9	1827		1827
			10	1775		1775

WARNECKE.IN2   	58	3	516		517
			4	387		390
			5	310		318
			6	258		261
			7	222		224
			8	194		196
			9	172		178
			10	155		163
			11	142		146
			12	130		134
			13	120		124
			14	111		114
			15	104		110
			16	98		103
			17	92		99
			18	87		96
			19	84		89
			20	79		86
			21	76		80
			22	73		76
			23	69		73
			24	66		74
			25	64		71
			26	64		69
			27	60		66
			28	59		63
			29	56		63

TONGE70.IN2   	70	3	1170		1172
			4	878		880
			5	702		705
			6	585		589
			7	502		508
			8	439		444
			9	391		395
			10	352		357
			11	320		327
			12	294		300
			13	271		275
			14	251		258
			15	235		246
			16	221		225
			17	208		218
			18	196		207
			19	186		196
			20	177		193
			21	170		178
			22	162		171
			23	156		165
			24	156		159
			25	156		156

WEE-MAG.IN2   	75	3	500		500
			4	375		376
			5	300		300
			6	250		251
			7	215		216
			8	188		191
			9	167		168
			10	150		153
			11	137		139
			12	125		129
			13	116		119
			14	108		113
			15	100		105
			16	94		98
			17	89		94
			18	84		90
			19	84		88
			20	77		80
			21	72		75
			22	69		72
			23	66		70
			24	66		68
			25	66		68
			26	65		67
			27	63		66
			28	63		65
			29	63		65
			30	56		58

