-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

								Lower Bound					Upper Bound					Binary Search
						---------------------------------------------		---------------------------------------------		---------------------------------------------
Problem		n	m	c*		c	%dev	BD	SX	CPU(time)		c	%dev	BD	SX	CPU(time)		c	%dev	BD	SX	CPU(time)

-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
BUXEY.IN2   	29	7	47		48	2.12766	12	6.16441	0.000285		48	2.12766	60	32.187	0.003858		48	2.12766	12	6.16441	0.001087
			8	41		44	7.31707	28	11.4891	0.000423		44	7.31707	72	30.7246	0.003137		44	7.31707	28	11.4891	0.000715
			9	37		39	5.40541	27	12.8452	0.000365		39	5.40541	66	28.6705	0.005727		39	5.40541	27	12.8452	0.000704
			10	34		35	2.94118	26	11.1355	0.000364		35	2.94118	61	22.6495	0.002675		35	2.94118	26	11.1355	0.000656
			11	32		32	0	28	11.1355	0.000363		32	0	60	22.9783	0.002352		32	0	28	11.1355	0.000591
			12	28		30	7.14286	36	13.1909	0.00039		30	7.14286	66	21.8174	0.003602		30	7.14286	36	13.1909	0.000607
			13	27		28	3.7037	40	16.0624	0.000595		28	3.7037	68	22.1811	0.002809		28	3.7037	40	16.0624	0.000677
			14	25		26	4	40	13.1149	0.000226		26	4	66	19.8494	0.00204		26	4	40	13.1149	0.000647

SAWYER30.IN2   	30	7	47		48	2.12766	12	8.24621	0.000335		48	2.12766	62	42.45	0.003848		48	2.12766	12	8.24621	0.001172
			8	41		42	2.43902	12	5.65685	0.000284		42	2.43902	54	28.1425	0.004231		42	2.43902	12	5.65685	0.000915
			9	37		40	8.10811	36	18	0.000467		40	8.10811	76	42.19	0.002926		40	8.10811	36	18	0.000719
			10	34		36	5.88235	36	12.9615	0.000502		36	5.88235	72	27.7489	0.002872		36	5.88235	36	12.9615	0.000652
			11	31		34	9.67742	50	18.8149	0.000574		34	9.67742	84	37.1753	0.002542		34	9.67742	50	18.8149	0.000587
			12	28		30	7.14286	36	16.4924	0.000467		30	7.14286	66	22.8473	0.002519		30	7.14286	36	16.4924	0.000593
			13	26		28	7.69231	40	15.8745	0.000403		28	7.69231	68	22.4054	0.002634		28	7.69231	40	15.8745	0.000495
			14	25		26	4	40	13.8564	0.000221		26	4	66	23.2809	0.002097		26	4	40	13.8564	0.000646

LUTZ1.IN2   	32	8	1860		2078	11.7204	2484	1680.5	0.02571		2078	11.7204	4562	2411.13	0.125964		2078	11.7204	2484	1680.5	0.020115
			9	1638		1700	3.7851	1160	494.789	0.019625		1700	3.7851	3056	1374.39	0.182495		1700	3.7851	1160	494.789	0.043652
			10	1526		1622	6.29096	2080	1035.21	0.026592		1622	6.29096	3898	1554.7	0.163877		1622	6.29096	2080	1035.21	0.02444
			11	1400		1498	7	2338	907.13	0.026277		1498	7	3836	1598.91	0.148515		1498	7	2338	907.13	0.033706
			12	1400		1400	0	2660	1126.14	8.8e-05		1310	-6.42857	3086	1357.13	0.12914		1400	0	2660	1126.14	0.045236

GUNTHER.IN2   	35	6	84		84	0	21	13	0.005598		84	0	105	83.0482	0.007092		84	0	21	13	0.013576
