-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

								Lower Bound					Upper Bound					Binary Search
						---------------------------------------------		---------------------------------------------		---------------------------------------------
Problem		n	m	c*		c	%dev	BD	SX	CPU(time)		c	%dev	BD	SX	CPU(time)		c	%dev	BD	SX	CPU(time)

-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
BUXEY.IN2   	29	7	47		49	4.25532	19	15.3297	0.000573		51	8.51064	84	42.5911	0.006767		51	8.51064	33	24.4336	0.000908
			8	41		43	4.87805	20	11.1355	0.000644		43	4.87805	83	44.3509	0.004922		43	4.87805	20	11.1355	0.000879
			9	37		38	2.7027	18	8	0.000317		38	2.7027	56	26.1916	0.005102		38	2.7027	18	8	0.002078
			10	34		35	2.94118	26	10.2956	0.001148		35	2.94118	61	23.7276	0.005115		35	2.94118	26	10.2956	0.00092
			11	32		34	6.25	50	21.2603	0.000741		34	6.25	84	36.2215	0.005021		34	6.25	50	21.2603	0.001499
			12	28		30	7.14286	36	15.2971	0.000515		32	14.2857	92	32.619	0.00328		32	14.2857	60	25.923	0.000634
			13	27		28	3.7037	40	13.8564	0.000607		28	3.7037	68	23.5372	0.003041		28	3.7037	40	13.8564	0.000934
			14	25		26	4	40	15.8114	0.000316		26	4	66	19.8494	0.003319		26	4	40	15.8114	0.000907

SAWYER30.IN2   	30	7	47		48	2.12766	12	6.63325	0.000414		48	2.12766	60	46.3897	0.004957		48	2.12766	12	6.63325	0.001957
			8	41		45	9.7561	36	23.1517	0.000832		45	9.7561	81	44.1475	0.006212		45	9.7561	36	23.1517	0.001231
			9	37		39	5.40541	27	17.2916	0.000773		39	5.40541	68	31.273	0.006268		39	5.40541	27	17.2916	0.001769
			10	34		35	2.94118	26	13.8564	0.00056		35	2.94118	63	26.3629	0.004449		35	2.94118	26	13.8564	0.001142
			11	31		33	6.45161	39	19.4165	0.000592		33	6.45161	74	28	0.003358		33	6.45161	39	19.4165	0.000874
			12	28		29	3.57143	24	10.3923	0.000521		29	3.57143	62	25.7294	0.004287		29	3.57143	24	10.3923	0.001074
			13	26		28	7.69231	40	19.4936	0.000745		28	7.69231	77	26.7769	0.003569		28	7.69231	40	19.4936	0.000865
			14	25		25	0	26	11.4018	0.000197		25	0	60	19.6469	0.006862		25	0	26	11.4018	0.001534

LUTZ1.IN2   	32	8	1860		1928	3.65591	1284	640.294	0.019632		1928	3.65591	3904	1854.22	0.202412		1928	3.65591	1284	640.294	0.035663
			9	1638		1726	5.37241	1394	573.233	0.018575		1726	5.37241	3120	1696.32	0.174108		1726	5.37241	1394	573.233	0.049557
			10	1526		1628	6.68414	2140	836.148	0.040373		1628	6.68414	3964	1658.78	0.155662		1628	6.68414	2140	836.148	0.018258
			11	1400		1466	4.71429	1986	1072.88	0.010004		1466	4.71429	3452	1491.42	0.131823		1466	4.71429	1986	1072.88	0.035442
			12	1400		1400	0	2660	1349.42	9.8e-05		1346	-3.85714	3358	1432.26	0.126564		1400	0	2660	1349.42	0.027822

GUNTHER.IN2   	35	6	84		87	3.57143	39	32.2335	0.001386		87	3.57143	128	59.0254	0.010806		87	3.57143	39	32.2335	0.002339
