-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

								Lower Bound					Upper Bound					Binary Search
						---------------------------------------------		---------------------------------------------		---------------------------------------------
Problem		n	m	c*		c	%dev	BD	SX	CPU(time)		c	%dev	BD	SX	CPU(time)		c	%dev	BD	SX	CPU(time)

-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
BUXEY.IN2   	29	7	47		52	10.6383	40	21.2132	0.000474		52	10.6383	92	42.4735	0.002548		52	10.6383	40	21.2132	0.000516
			8	41		44	7.31707	28	14	0.000345		44	7.31707	92	43.7035	0.002347		44	7.31707	28	14	0.000545
			9	37		41	10.8108	45	21.8861	0.000406		41	10.8108	106	47.1169	0.002012		41	10.8108	45	21.8861	0.000484
			10	34		38	11.7647	56	25.6905	0.000695		38	11.7647	114	42.0951	0.002		38	11.7647	56	25.6905	0.000394
			11	32		34	6.25	50	21.0713	0.000424		34	6.25	84	32.249	0.001681		34	6.25	50	21.0713	0.00037
			12	28		32	14.2857	60	26.4197	0.000496		32	14.2857	92	29.5973	0.001582		32	14.2857	60	26.4197	0.000374
			13	27		30	11.1111	66	23.1948	0.000446		30	11.1111	96	29.9333	0.001493		29	7.40741	82	26.7955	0.000392
			14	25		28	12	68	23.8328	0.000305		28	12	96	28	0.002288		28	12	68	23.8328	0.000458

SAWYER30.IN2   	30	7	47		50	6.38298	26	17.1464	0.000348		50	6.38298	78	39.7492	0.002705		50	6.38298	26	17.1464	0.000807
			8	41		47	14.6341	52	32.4962	0.00058		47	14.6341	99	53.0566	0.002244		47	14.6341	52	32.4962	0.00044
			9	37		42	13.5135	54	29.4279	0.000679		42	13.5135	98	39.6485	0.002348		42	13.5135	54	29.4279	0.000533
			10	34		35	2.94118	26	13.6382	0.00034		35	2.94118	84	28.9828	0.002533		35	2.94118	26	13.6382	0.00059
			11	31		35	12.9032	26	13.6382	0.001151		35	12.9032	98	34.4964	0.001955		34	9.67742	84	30.4959	0.000435
			12	28		32	14.2857	60	25.0599	0.000644		32	14.2857	108	37.0405	0.007422		32	14.2857	60	25.0599	0.000395
			13	26		30	15.3846	66	22.2261	0.000759		30	15.3846	112	36.8511	0.002572		29	11.5385	82	26.4575	0.000482
			14	25		26	4	40	17.2627	0.000288		26	4	89	29.2062	0.001699		26	4	40	17.2627	0.000518

LUTZ1.IN2   	32	8	1860		1898	2.04301	1044	503.222	0.012584		1898	2.04301	3634	1732.53	0.15798		1898	2.04301	1044	503.222	0.03472
			9	1638		1676	2.3199	944	395.576	0.019768		1676	2.3199	2620	1551.23	0.136497		1676	2.3199	944	395.576	0.031785
			10	1526		1606	5.24246	1920	787.589	0.02304		1606	5.24246	3722	1591.11	0.125249		1606	5.24246	1920	787.589	0.007646
			11	1400		1472	5.14286	2052	913.678	0.007622		1472	5.14286	3524	1581.58	0.129473		1472	5.14286	2052	913.678	0.033677
			12	1400		1400	0	2660	1310.69	0.000112		1322	-5.57143	3046	1383.09	0.113011		1400	0	2660	1310.69	0.015563

GUNTHER.IN2   	35	6	84		87	3.57143	39	20.025	0.00072		87	3.57143	128	58.6174	0.013159		87	3.57143	39	20.025	0.001267
