-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

								Lower Bound					Upper Bound					Binary Search
						---------------------------------------------		---------------------------------------------		---------------------------------------------
Problem		n	m	c*		c	%dev	BD	SX	CPU(time)		c	%dev	BD	SX	CPU(time)		c	%dev	BD	SX	CPU(time)

-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
BUXEY.IN2   	29	7	47		52	10.6383	40	21.2132	0.000481		52	10.6383	92	42.4735	0.002875		52	10.6383	40	21.2132	0.000799
			8	41		44	7.31707	28	14	0.000338		44	7.31707	92	39.4968	0.003083		44	7.31707	28	14	0.000536
			9	37		41	10.8108	45	20.2237	0.000421		41	10.8108	106	43.2435	0.002021		41	10.8108	45	20.2237	0.000492
			10	34		37	8.82353	46	23.3238	0.000622		37	8.82353	103	38.8458	0.0019		37	8.82353	46	23.3238	0.000472
			11	32		34	6.25	50	21.166	0.00049		34	6.25	84	31.496	0.001718		34	6.25	50	21.166	0.000382
			12	28		32	14.2857	60	26.4197	0.000441		32	14.2857	92	29.5973	0.00168		32	14.2857	60	26.4197	0.000387
			13	27		30	11.1111	66	23.1948	0.000452		30	11.1111	96	29.9333	0.00146		29	7.40741	82	26.7955	0.000395
			14	25		28	12	68	23.8328	0.000314		28	12	96	28	0.001689		28	12	68	23.8328	0.000518

SAWYER30.IN2   	30	7	47		52	10.6383	40	29.5296	0.000472		52	10.6383	94	44.6542	0.002485		52	10.6383	40	29.5296	0.000597
			8	41		47	14.6341	52	32.4962	0.000527		47	14.6341	99	53.0566	0.002164		47	14.6341	52	32.4962	0.000414
			9	37		42	13.5135	54	30.4302	0.000536		42	13.5135	98	39.6485	0.00214		42	13.5135	54	30.4302	0.000424
			10	34		35	2.94118	26	13.8564	0.000472		35	2.94118	84	28.9828	0.002416		35	2.94118	26	13.8564	0.000525
			11	31		35	12.9032	26	13.8564	0.000491		35	12.9032	98	34.4964	0.001657		34	9.67742	84	30.4959	0.000367
			12	28		32	14.2857	60	25.0599	0.000428		32	14.2857	108	36.4966	0.001705		32	14.2857	60	25.0599	0.000382
			13	26		30	15.3846	66	21.4942	0.000459		30	15.3846	112	37.3363	0.001446		29	11.5385	82	27.1293	0.000375
			14	25		26	4	40	17.2627	0.000181		29	16	127	39.3065	0.001318		26	4	40	17.2627	0.000696

LUTZ1.IN2   	32	8	1860		1952	4.94624	1476	745.67	0.011988		1952	4.94624	4120	1858.1	0.114956		1952	4.94624	1476	745.67	0.029373
			9	1638		1740	6.22711	1520	609.938	0.025345		1740	6.22711	3952	1755.93	0.188507		1740	6.22711	1520	609.938	0.047876
			10	1526		1628	6.68414	2140	822.625	0.042099		1628	6.68414	3964	1652	0.132176		1628	6.68414	2140	822.625	0.036291
			11	1400		1472	5.14286	2052	699.514	0.006298		1472	5.14286	3524	1468.3	0.175229		1472	5.14286	2052	699.514	0.027524
			12	1400		1400	0	2660	1297.83	7.4e-05		1346	-3.85714	3358	1432.86	0.166612		1400	0	2660	1297.83	0.010364

GUNTHER.IN2   	35	6	84		87	3.57143	39	20.025	0.00113		87	3.57143	128	58.6174	0.00635		87	3.57143	39	20.025	0.001493
