-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

								Lower Bound					Upper Bound					Binary Search
						---------------------------------------------		---------------------------------------------		---------------------------------------------
Problem		n	m	c*		c	%dev	BD	SX	CPU(time)		c	%dev	BD	SX	CPU(time)		c	%dev	BD	SX	CPU(time)

-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
BUXEY.IN2   	29	7	47		51	8.51064	33	18.9473	0.00052		52	10.6383	92	42.5676	0.002934		53	12.766	47	29.1719	0.000639
			8	41		44	7.31707	28	13.0384	0.000376		44	7.31707	92	44.6542	0.002853		45	9.7561	36	16.3707	0.00063
			9	37		39	5.40541	27	13.1529	0.000303		41	10.8108	106	42.8952	0.002312		41	10.8108	45	17.2916	0.000537
			10	34		36	5.88235	36	14.1421	0.000455		37	8.82353	83	31.225	0.002462		36	5.88235	36	15.6205	0.000688
			11	32		34	6.25	50	20.5426	0.000502		34	6.25	104	34.7851	0.001981		34	6.25	50	21.8632	0.000416
			12	28		32	14.2857	60	24.9399	0.000492		32	14.2857	92	33.0151	0.001821		31	10.7143	79	25.3574	0.000506
			13	27		29	7.40741	53	19.6723	0.000448		30	11.1111	96	31.209	0.0016		29	7.40741	82	28.7402	0.000459
			14	25		28	12	68	23.7487	0.000374		28	12	96	28.0713	0.002015		27	8	54	18.2209	0.000485

SAWYER30.IN2   	30	7	47		51	8.51064	33	21.9773	0.000481		51	8.51064	84	47.0956	0.003042		51	8.51064	33	15.5242	0.00071
			8	41		46	12.1951	44	24.5764	0.000538		46	12.1951	90	46.3897	0.002688		47	14.6341	99	46.2925	0.000461
			9	37		41	10.8108	45	21.8861	0.00054		42	13.5135	98	39.0384	0.002389		42	13.5135	54	26.9815	0.000645
			10	34		38	11.7647	56	27.0185	0.000615		40	17.6471	118	45.1664	0.001955		37	8.82353	83	33.9853	0.000529
			11	31		34	9.67742	50	21.2132	0.000492		36	16.129	110	39.6989	0.001916		34	9.67742	84	31.305	0.00041
			12	28		30	7.14286	36	13.8564	0.000351		30	7.14286	89	29.2746	0.002063		31	10.7143	48	18.8149	0.000517
			13	26		30	15.3846	36	13.6382	0.000508		29	11.5385	98	33.4963	0.001755		28	7.69231	68	23.4521	0.000447
			14	25		27	8	54	17.8885	0.000274		28	12	112	34.7563	0.001835		27	8	81	25.318	0.000473

LUTZ1.IN2   	32	8	1860		1861	0.0537634	748	368.966	0.00679		2051	10.2688	4773	2442.31	0.212178		2072	11.3979	2436	1477.73	0.031089
			9	1638		1678	2.442	962	471.088	0.022448		1788	9.15751	3740	1796.6	0.22746		1775	8.36386	1835	713.942	0.038776
			10	1526		1610	5.50459	1960	825.736	0.054549		1718	12.5819	4758	1895.37	0.175903		1683	10.2883	2690	976.554	0.001942
			11	1400		1410	0.714286	1370	582.838	0.000942		1472	5.14286	3524	1599.54	0.24031		1472	5.14286	2052	732.453	0.045496
			12	1400		1400	0	2660	999.056	8e-05		1391	-0.642857	3943	1643.15	0.20432		1400	0	2660	1113.6	0.003081

GUNTHER.IN2   	35	6	84		85	1.19048	27	13.7477	0.000553		86	2.38095	121	56.701	0.007036		87	3.57143	39	19.2094	0.039718
