-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

								Lower Bound					Upper Bound					Binary Search
						---------------------------------------------		---------------------------------------------		---------------------------------------------
Problem		n	m	c*		c	%dev	BD	SX	CPU(time)		c	%dev	BD	SX	CPU(time)		c	%dev	BD	SX	CPU(time)

-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
BUXEY.IN2   	29	7	47		49	4.25532	19	15.3297	0.000348		51	8.51064	84	42.5911	0.005412		51	8.51064	33	24.4336	0.000716
			8	41		43	4.87805	20	11.1355	0.000342		43	4.87805	83	44.3509	0.003093		43	4.87805	20	11.1355	0.000799
			9	37		38	2.7027	18	8	0.000278		38	2.7027	56	26.1916	0.002736		38	2.7027	18	8	0.000781
			10	34		35	2.94118	26	10.2956	0.000427		35	2.94118	61	23.7276	0.002435		35	2.94118	26	10.2956	0.000585
			11	32		34	6.25	50	21.2603	0.000501		34	6.25	84	36.2215	0.002133		34	6.25	50	21.2603	0.000418
			12	28		30	7.14286	36	15.2971	0.000358		32	14.2857	92	32.619	0.00223		32	14.2857	60	25.923	0.000438
			13	27		28	3.7037	40	13.8564	0.000358		28	3.7037	68	23.5372	0.001925		28	3.7037	40	13.8564	0.00045
			14	25		26	4	40	15.8114	0.00018		26	4	66	19.8494	0.001978		26	4	40	15.8114	0.000542

SAWYER30.IN2   	30	7	47		48	2.12766	12	6.63325	0.00098		48	2.12766	60	46.3897	0.006783		48	2.12766	12	6.63325	0.001198
			8	41		45	9.7561	36	23.1517	0.001111		45	9.7561	81	44.1475	0.005463		45	9.7561	36	23.1517	0.001
			9	37		39	5.40541	27	17.2916	0.00056		39	5.40541	68	31.273	0.00302		39	5.40541	27	17.2916	0.001758
			10	34		35	2.94118	26	13.8564	0.000442		35	2.94118	63	26.3629	0.003102		35	2.94118	26	13.8564	0.000955
			11	31		33	6.45161	39	19.4165	0.000478		33	6.45161	74	28	0.003569		33	6.45161	39	19.4165	0.000596
			12	28		29	3.57143	24	10.3923	0.000329		29	3.57143	62	25.7294	0.002693		29	3.57143	24	10.3923	0.001035
			13	26		28	7.69231	40	19.4936	0.000428		28	7.69231	77	26.7769	0.003242		28	7.69231	40	19.4936	0.00051
			14	25		25	0	26	11.4018	9.7e-05		25	0	60	19.6469	0.002046		25	0	26	11.4018	0.003643

LUTZ1.IN2   	32	8	1860		1928	3.65591	1284	640.294	0.013568		1928	3.65591	3904	1854.22	0.131327		1928	3.65591	1284	640.294	0.028138
			9	1638		1726	5.37241	1394	573.233	0.018573		1726	5.37241	3120	1696.32	0.105332		1726	5.37241	1394	573.233	0.018814
			10	1526		1628	6.68414	2140	836.148	0.017568		1628	6.68414	3964	1658.78	0.106592		1628	6.68414	2140	836.148	0.011896
			11	1400		1466	4.71429	1986	1072.88	0.00634		1466	4.71429	3452	1491.42	0.09024		1466	4.71429	1986	1072.88	0.023374
			12	1400		1400	0	2660	1349.42	0.00244		1346	-3.85714	3358	1432.26	0.082017		1400	0	2660	1349.42	0.011296

GUNTHER.IN2   	35	6	84		87	3.57143	39	32.2335	0.001149		87	3.57143	128	59.0254	0.01045		87	3.57143	39	32.2335	0.002081
