-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

								Lower Bound					Upper Bound					Binary Search
						---------------------------------------------		---------------------------------------------		---------------------------------------------
Problem		n	m	c*		c	%dev	BD	SX	CPU(time)		c	%dev	BD	SX	CPU(time)		c	%dev	BD	SX	CPU(time)

-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
BUXEY.IN2   	29	7	47		48	2.12766	12	8.94427	1.77136
			8	41		41	0	4	2.44949	1.26595
			9	37		37	0	9	5.91608	1.28821
			10	34		34	0	16	7.87401	2.01943
			11	32		32	0	28	14.6969	2.47307
			12	28		29	3.57143	24	8.60233	1.83879
			13	27		28	3.7037	12	5.47723	2.7808
			14	25		25	0	26	9.48683	0.766974

SAWYER30.IN2   	30	7	47		48	2.12766	12	6.48074	2.1305
			8	41		42	2.43902	12	7.34847	2.18108
			9	37		38	2.7027	18	7.07107	2.19645
			10	34		34	0	16	6.78233	2.21434
			11	31		32	3.22581	28	17.088	3.07344
			12	28		29	3.57143	24	10.3923	2.29474
			13	26		26	0	14	5.2915	1.53588
			14	25		25	0	26	11.3137	0.755618

LUTZ1.IN2   	32	8	1860		1860	0	740	403.861	83.919
			9	1638		1664	1.5873	836	402.333	83.5518
			10	1526		1528	0.131062	1140	431.008	100.011
			11	1400		1400	0	1260	481.921	0.889986
			12	1400		1400	0	1260	478.623	0.849821

GUNTHER.IN2   	35	6	84		84	0	21	12.3693	5.91615
			7	72		73	1.38889	28	20.5426	6.12047
			8	63		64	1.5873	29	19.5192	5.89853
			9	54		57	5.55556	30	12.1655	6.13937
			10	50		50	0	17	7.54983	3.56758
			11	48		48	0	45	19.7231	6.69689
			12	44		44	0	45	21.4243	5.65639
			13	42		42	0	63	27.5862	3.27087
			14	40		42	5	63	26.4386	3.21295
			15	40		40	0	77	41.3884	1.08759

KILBRID.IN2   	45	3	184		184	0	0	0	2.17365
			4	138		138	0	0	0	2.23161
			5	111		111	0	3	2.23607	4.44713
			6	92		93	1.08696	6	4.24264	4.42495
			7	79		80	1.26582	8	4.24264	7.01412
			8	69		70	1.44928	8	5.09902	4.7921
			9	62		63	1.6129	15	7.28011	7.28051
			10	56		57	1.78571	18	9.38083	7.35845
			11	55		55	0	53	21	3.09612

HAHN.IN2   	53	3	4787		4787	0	335	316.571	467.633
			4	3677		3677	0	682	665.172	661.117
			5	2823		2823	0	89	45.7275	48.5683
			6	2400		2402	0.0833333	386	293.993	142.311
			7	2336		2342	0.256849	2368	1565.66	502.328
			8	1907		1910	0.157315	1254	827.196	206.923
			9	1827		1827	0	2417	1164.45	79.9572
			10	1775		1775	0	3724	1729.48	1.64842

WARNECKE.IN2   	58	3	516		516	0	0	0	1.92989
			4	387		388	0.258398	4	2.44949	3.46766
			5	310		311	0.322581	7	3.87298	5.45085
			6	258		260	0.775194	12	7.07107	5.79075
			7	222		223	0.45045	13	10.4403	5.33188
			8	194		196	1.03093	20	9.69536	7.1469
			9	172		175	1.74419	27	13	7.72149
			10	155		160	3.22581	52	22.6274	12.873
			11	142		145	2.11268	47	17.1172	11.2827
			12	130		134	3.07692	60	28.3196	12.0927
			13	120		123	2.5	51	21.7945	9.26158
			14	111		113	1.8018	34	12.4097	7.2733
			15	104		109	4.80769	87	28.3019	13.6572
			16	98		100	2.04082	52	18.7083	9.46391
			17	92		97	5.43478	101	38.5876	13.6206
			18	87		92	5.74713	108	35.2987	12.7792
			19	84		88	4.7619	124	49.7393	14.159
			20	79		81	2.53165	72	19.5959	8.64652
			21	76		78	2.63158	90	24.454	10.5742
			22	73		76	4.10959	124	38.6782	12.8081
			23	69		73	5.7971	131	33.1512	12.9592
			24	66		71	7.57576	156	43.2897	15.0624
			25	64		69	7.8125	177	55.8301	16.1171
			26	64		66	3.125	168	47.244	14.4038
			27	60		64	6.66667	180	45.0999	13.9461
			28	59		61	3.38983	160	38.2884	12.1117
			29	56		59	5.35714	163	41.1461	12.0853

TONGE70.IN2   	70	3	1170		1171	0.0854701	3	2.23607	6.01498
			4	878		878	0	2	2	6.00727
			5	702		704	0.2849	10	6.48074	8.82886
			6	585		588	0.512821	18	10.4881	12.0655
			7	502		503	0.199203	11	5	9.0848
			8	439		441	0.455581	18	8.94427	12.0423
			9	391		393	0.511509	27	13.0767	12.2555
			10	352		356	1.13636	50	21.9545	18.4591
			11	320		324	1.25	54	19.3907	18.3802
			12	294		299	1.70068	78	35.4401	24.9446
			13	271		276	1.84502	78	27.6043	21.6141
			14	251		258	2.78884	102	46.3033	27.3665
			15	235		240	2.12766	90	28.8444	20.8048
			16	221		226	2.26244	106	34.8425	24.1874
			17	208		214	2.88462	128	38.6264	27.1509
			18	196		202	3.06122	126	37.3631	23.8558
			19	186		194	4.30108	176	58.3952	32.9288
			20	177		183	3.38983	150	43.4971	26.9222
			21	170		178	4.70588	228	71.232	36.8184
			22	162		172	6.17284	274	123.085	42.4579
			23	156		159	1.92308	147	47.2758	11.8882
			24	156		156	0	234	84.8175	3.05289
			25	156		156	0	234	89.4874	2.94664

WEE-MAG.IN2   	75	3	500		500	0	1	1	6.82746
			4	375		375	0	1	1	6.80106
			5	300		301	0.333333	6	3.16228	10.4204
			6	250		251	0.4	7	3.31662	10.3679
			7	215		215	0	6	4.24264	6.91187
			8	188		189	0.531915	13	5.91608	10.4332
			9	167		168	0.598802	13	8.18535	10.6771
			10	150		152	1.33333	21	12.6095	13.8846
			11	137		138	0.729927	19	7.81025	10.5644
			12	125		127	1.6	25	9.64365	14.2679
			13	116		118	1.72414	35	13.8203	14.186
			14	108		112	3.7037	69	28.0535	20.9971
			15	100		103	3	46	19.0263	17.6169
			16	94		97	3.19149	53	17.3494	17.6926
			17	89		92	3.37079	65	25.8263	17.4525
			18	84		89	5.95238	103	36.8646	24.8329
			19	84		87	3.57143	154	43.1972	35.1749
			20	77		80	3.8961	101	30.545	24.6482
			21	72		74	2.77778	55	17.2337	14.053
			22	69		71	2.89855	63	21.0476	14.3693
			23	66		69	4.54545	88	31.6544	16.7089
			24	66		68	3.0303	133	43.2551	23.8931
			25	66		67	1.51515	176	49.2747	31.156
			26	65		66	1.53846	217	58.2838	35.5228
			27	63		65	3.1746	256	61.709	39.0905
			28	63		64	1.5873	293	66.7158	43.2834
			29	63		63	0	328	71.0493	46.6861
			30	56		56	0	181	39.8873	28.7542

ARC83.IN2   	83	3	25236		25240	0.0158504	13	8.06226	30.6674
			4	18927		18942	0.0792519	61	30.8058	92.1003
